,cost,group,n_met,n_mutual,n_pw_mut,table,chat,room,session
60,-1.6666666666666665,"(49, 64, 71, 81)",0.0,1.0,12.0,0,5,1,1
61,-1.6666666666666665,"(56, 5, 24, 60)",0.0,1.0,12.0,1,5,1,1
62,-1.5555555555555556,"(75, 8, 7, 41)",0.0,1.0,10.0,2,5,1,1
63,-1.5555555555555556,"(18, 54, 69, 77)",0.0,1.0,10.0,3,5,1,1
64,-1.5,"(22, 57, 9, 20)",0.0,1.0,9.0,4,5,1,1
65,-1.5,"(15, 45, 46, 82)",0.0,1.0,9.0,5,5,1,1
66,-0.4444444444444444,"(1, 4, 39, 50)",0.0,0.0,8.0,6,5,1,1
67,-0.3888888888888889,"(3, 32, 34, 2)",0.0,0.0,7.0,7,5,1,1
68,1.3888888888888888,"(40, 62, 68, 78)",1.0,0.0,5.0,8,5,1,1
69,2.9999999999999996,"(23, 17, 47, 76)",2.0,0.0,6.0,9,5,1,1
70,2.944444444444444,"(6, 44, 70, 59)",2.0,0.0,7.0,10,5,1,1
71,1.4999999999999998,"(52, 65, 19, 61)",1.0,0.0,3.0,11,5,1,1
72,-2.7777777777777777,"(8, 34, 54, 78)",0.0,2.0,14.0,0,6,1,1
73,-1.6111111111111112,"(17, 18, 64, 70)",0.0,1.0,11.0,1,6,1,1
74,-1.5555555555555556,"(20, 47, 56, 69)",0.0,1.0,10.0,2,6,1,1
75,-1.5555555555555556,"(60, 65, 32, 4)",0.0,1.0,10.0,3,6,1,1
76,-1.4444444444444444,"(68, 57, 45, 1)",0.0,1.0,8.0,4,6,1,1
77,-0.5,"(6, 40, 5, 82)",0.0,0.0,9.0,5,6,1,1
78,-0.3888888888888889,"(71, 41, 3, 22)",0.0,0.0,7.0,6,6,1,1
79,1.3333333333333333,"(59, 44, 7, 81)",1.0,0.0,6.0,7,6,1,1
80,1.3333333333333333,"(61, 62, 77, 15)",1.0,0.0,6.0,8,6,1,1
81,-0.2777777777777778,"(75, 23, 50, 9)",0.0,0.0,5.0,9,6,1,1
82,1.3888888888888888,"(2, 46, 76, 49)",1.0,0.0,5.0,10,6,1,1
83,3.1111111111111107,"(19, 52, 39, 24)",2.0,0.0,4.0,11,6,1,1
84,-1.5555555555555556,"(8, 40, 60, 71)",0.0,1.0,10.0,0,7,1,1
85,-1.5555555555555556,"(19, 34, 49, 57)",0.0,1.0,10.0,1,7,1,1
86,-1.4444444444444444,"(9, 15, 47, 65)",0.0,1.0,8.0,2,7,1,1
87,-1.4444444444444444,"(24, 4, 77, 22)",0.0,1.0,8.0,3,7,1,1
88,-0.4444444444444444,"(41, 45, 56, 17)",0.0,0.0,8.0,4,7,1,1
89,-0.3333333333333333,"(46, 52, 54, 70)",0.0,0.0,6.0,5,7,1,1
90,-0.3333333333333333,"(50, 3, 68, 6)",0.0,0.0,6.0,6,7,1,1
91,1.4999999999999998,"(44, 5, 18, 76)",1.0,0.0,3.0,7,7,1,1
92,1.7222222222222219,"(32, 82, 81, 64)",2.0,1.0,11.0,8,7,1,1
93,3.1111111111111107,"(75, 69, 23, 62)",2.0,0.0,4.0,9,7,1,1
94,-0.2222222222222222,"(7, 2, 61, 78)",0.0,0.0,4.0,10,7,1,1
95,1.3888888888888888,"(1, 39, 20, 59)",1.0,0.0,5.0,11,7,1,1
96,-1.6666666666666665,"(37, 38, 53, 74)",0.0,1.0,12.0,0,0,2,1
97,-1.6666666666666665,"(43, 48, 58, 80)",0.0,1.0,12.0,1,0,2,1
98,-1.5555555555555556,"(33, 14, 28, 25)",0.0,1.0,10.0,2,0,2,1
99,-0.2222222222222222,"(51, 79, 30, 16)",0.0,0.0,4.0,3,0,2,1
100,-1.6111111111111112,"(35, 21, 72, 63)",0.0,1.0,11.0,4,0,2,1
101,-2.388888888888889,"(66, 31, 10, 0, 29)",0.0,1.0,25.0,5,0,2,1
102,-2.2222222222222223,"(11, 26, 27, 55, 73)",0.0,1.0,22.0,6,0,2,1
103,-3.2777777777777777,"(12, 67, 36, 13, 42)",0.0,2.0,23.0,7,0,2,1
104,-1.7777777777777777,"(0, 11, 12, 35)",0.0,1.0,14.0,0,1,2,1
105,-1.5555555555555556,"(43, 53, 55, 72)",0.0,1.0,10.0,1,1,2,1
106,-1.5,"(14, 21, 26, 79)",0.0,1.0,9.0,2,1,2,1
107,-0.2777777777777778,"(51, 48, 63, 74)",0.0,0.0,5.0,3,1,2,1
108,-0.4444444444444444,"(80, 67, 29, 33)",0.0,0.0,8.0,4,1,2,1
109,-2.2222222222222223,"(25, 37, 10, 13, 16)",0.0,1.0,22.0,5,1,2,1
110,-2.0,"(36, 38, 31, 27, 28)",0.0,1.0,18.0,6,1,2,1
111,-0.7777777777777778,"(30, 58, 66, 73, 42)",0.0,0.0,14.0,7,1,2,1
112,-2.7777777777777777,"(10, 21, 74, 27)",0.0,2.0,14.0,0,2,2,1
113,-1.4444444444444444,"(0, 25, 67, 73)",0.0,1.0,8.0,1,2,2,1
114,-1.4444444444444444,"(63, 30, 80, 28)",0.0,1.0,8.0,2,2,2,1
115,-0.2222222222222222,"(58, 72, 29, 16)",0.0,0.0,4.0,3,2,2,1
116,-1.3888888888888888,"(53, 36, 35, 51)",0.0,1.0,7.0,4,2,2,1
117,-2.2222222222222223,"(12, 26, 37, 66, 33)",0.0,1.0,22.0,5,2,2,1
118,-0.8333333333333334,"(11, 13, 38, 43, 79)",0.0,0.0,15.0,6,2,2,1
119,-1.7777777777777777,"(14, 31, 42, 48, 55)",0.0,1.0,14.0,7,2,2,1
120,-1.7222222222222223,"(0, 26, 36, 74)",0.0,1.0,13.0,0,3,2,1
121,-1.6666666666666665,"(14, 27, 37, 67)",0.0,1.0,12.0,1,3,2,1
122,-0.3333333333333333,"(31, 13, 30, 72)",0.0,0.0,6.0,2,3,2,1
123,-0.1111111111111111,"(58, 63, 33, 79)",0.0,0.0,2.0,3,3,2,1
124,-0.16666666666666666,"(29, 42, 28, 35)",0.0,0.0,3.0,4,3,2,1
125,-2.0,"(25, 38, 55, 66, 80)",0.0,1.0,18.0,5,3,2,1
126,-0.8888888888888888,"(10, 12, 43, 51, 73)",0.0,0.0,16.0,6,3,2,1
127,-0.6666666666666666,"(11, 16, 21, 53, 48)",0.0,0.0,12.0,7,3,2,1
128,-1.6111111111111112,"(12, 21, 25, 31)",0.0,1.0,11.0,0,4,2,1
129,-0.2222222222222222,"(11, 28, 74, 58)",0.0,0.0,4.0,1,4,2,1
130,0.2777777777777776,"(13, 14, 33, 73)",1.0,1.0,7.0,2,4,2,1
131,1.4444444444444442,"(36, 30, 63, 29)",1.0,0.0,4.0,3,4,2,1
132,-0.16666666666666666,"(53, 42, 80, 79)",0.0,0.0,3.0,4,4,2,1
133,-0.3333333333333335,"(0, 37, 51, 55, 72)",1.0,1.0,18.0,5,4,2,1
134,-1.8888888888888888,"(10, 26, 38, 48, 67)",0.0,1.0,16.0,6,4,2,1
135,-1.8888888888888888,"(16, 27, 66, 43, 35)",0.0,1.0,16.0,7,4,2,1
136,-1.6111111111111112,"(10, 11, 14, 80)",0.0,1.0,11.0,0,5,2,1
137,0.05555555555555536,"(21, 36, 55, 66)",1.0,1.0,11.0,1,5,2,1
138,0.16666666666666652,"(72, 38, 16, 12)",1.0,1.0,9.0,2,5,2,1
139,3.0555555555555554,"(51, 28, 67, 74)",2.0,0.0,5.0,3,5,2,1
140,-0.2222222222222222,"(35, 33, 30, 48)",0.0,0.0,4.0,4,5,2,1
141,-0.7222222222222222,"(0, 13, 27, 53, 58)",0.0,0.0,13.0,5,5,2,1
142,1.1666666666666665,"(73, 63, 37, 31, 79)",1.0,0.0,9.0,6,5,2,1
143,1.0555555555555554,"(25, 43, 26, 29, 42)",1.0,0.0,11.0,7,5,2,1
144,-0.4444444444444444,"(63, 66, 11, 67)",0.0,0.0,8.0,0,6,2,1
145,0.2222222222222221,"(72, 73, 28, 53)",1.0,1.0,8.0,1,6,2,1
146,1.222222222222222,"(14, 30, 38, 58)",1.0,0.0,8.0,2,6,2,1
147,1.8888888888888886,"(25, 42, 27, 48)",2.0,1.0,8.0,3,6,2,1
148,-1.1102230246251565e-16,"(0, 21, 43, 37)",1.0,1.0,12.0,4,6,2,1
149,2.722222222222222,"(12, 29, 74, 79, 35)",2.0,0.0,11.0,5,6,2,1
150,0.8888888888888887,"(13, 80, 51, 26, 31)",1.0,0.0,14.0,6,6,2,1
151,2.4999999999999996,"(10, 33, 36, 55, 16)",2.0,0.0,15.0,7,6,2,1
152,0.16666666666666652,"(11, 33, 37, 42)",1.0,1.0,9.0,0,7,2,1
153,2.8888888888888884,"(66, 14, 29, 48)",2.0,0.0,8.0,1,7,2,1
154,2.944444444444444,"(35, 73, 38, 31)",2.0,0.0,7.0,2,7,2,1
155,2.9999999999999996,"(43, 13, 74, 30)",2.0,0.0,6.0,3,7,2,1
156,2.9999999999999996,"(27, 21, 58, 51)",2.0,0.0,6.0,4,7,2,1
157,2.5555555555555554,"(72, 36, 25, 79, 10)",2.0,0.0,14.0,5,7,2,1
158,4.277777777777778,"(12, 53, 55, 63, 67)",3.0,0.0,13.0,6,7,2,1
159,4.388888888888889,"(16, 28, 0, 26, 80)",3.0,0.0,11.0,7,7,2,1
160,-1.8333333333333335,"(10, 60, 64, 79)",0.0,1.0,15.0,0,0,1,2
161,-1.6666666666666665,"(7, 24, 65, 67)",0.0,1.0,12.0,1,0,1,2
162,-1.6666666666666665,"(9, 17, 15, 66)",0.0,1.0,12.0,2,0,1,2
163,-1.6111111111111112,"(55, 22, 45, 13)",0.0,1.0,11.0,3,0,1,2
164,-1.5555555555555556,"(2, 11, 72, 36)",0.0,1.0,10.0,4,0,1,2
165,-1.4444444444444444,"(33, 81, 40, 38)",0.0,1.0,8.0,5,0,1,2
166,-1.4444444444444444,"(34, 42, 6, 49)",0.0,1.0,8.0,6,0,1,2
167,-0.1111111111111111,"(58, 35, 59, 8)",0.0,0.0,2.0,7,0,1,2
168,1.2777777777777777,"(77, 76, 39, 27)",1.0,0.0,7.0,8,0,1,2
169,1.3888888888888888,"(63, 1, 73, 61)",1.0,0.0,5.0,9,0,1,2
170,-0.2222222222222222,"(30, 70, 3, 78)",0.0,0.0,4.0,10,0,1,2
171,-0.3333333333333333,"(44, 69, 29, 75)",0.0,0.0,6.0,11,0,1,2
172,-1.7222222222222223,"(3, 35, 55, 60)",0.0,1.0,13.0,0,1,1,2
173,-1.7222222222222223,"(24, 66, 64, 8)",0.0,1.0,13.0,1,1,1,2
174,-1.6666666666666665,"(17, 36, 45, 73)",0.0,1.0,12.0,2,1,1,2
175,-1.5555555555555556,"(6, 27, 79, 81)",0.0,1.0,10.0,3,1,1,2
176,-1.5,"(7, 13, 29, 78)",0.0,1.0,9.0,4,1,1,2
177,-1.5,"(11, 77, 42, 75)",0.0,1.0,9.0,5,1,1,2
178,-1.1111111111111112,"(10, 15, 63, 72)",1.0,2.0,14.0,6,1,1,2
179,1.3888888888888888,"(65, 49, 69, 30)",1.0,0.0,5.0,7,1,1,2
180,1.3888888888888888,"(2, 38, 34, 61)",1.0,0.0,5.0,8,1,1,2
181,-0.2222222222222222,"(44, 58, 9, 39)",0.0,0.0,4.0,9,1,1,2
182,-0.4444444444444444,"(33, 1, 22, 70)",0.0,0.0,8.0,10,1,1,2
183,-0.3888888888888889,"(59, 40, 67, 76)",0.0,0.0,7.0,11,1,1,2
184,-1.6666666666666665,"(2, 7, 10, 17)",0.0,1.0,12.0,0,2,1,2
185,-1.6111111111111112,"(64, 67, 75, 78)",0.0,1.0,11.0,1,2,1,2
186,-1.5555555555555556,"(24, 27, 61, 72)",0.0,1.0,10.0,2,2,1,2
187,-1.3888888888888888,"(1, 44, 77, 79)",0.0,1.0,7.0,3,2,1,2
188,-0.3888888888888889,"(55, 39, 63, 69)",0.0,0.0,7.0,4,2,1,2
189,-0.3888888888888889,"(15, 38, 22, 59)",0.0,0.0,7.0,5,2,1,2
190,-0.3888888888888889,"(9, 29, 11, 45)",0.0,0.0,7.0,6,2,1,2
191,-0.16666666666666666,"(58, 81, 65, 3)",0.0,0.0,3.0,7,2,1,2
192,3.0555555555555554,"(34, 73, 30, 60)",2.0,0.0,5.0,8,2,1,2
193,1.222222222222222,"(13, 49, 40, 35)",1.0,0.0,8.0,9,2,1,2
